datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;unveraendert_1;veraendert_1;panasch_1;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;unveraendert_2;veraendert_2;panasch_2;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;unveraendert_3;veraendert_3;panasch_3;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;unveraendert_4;veraendert_4;panasch_4;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D4_15;D4_16;D4_17;D4_18;unveraendert_5;veraendert_5;panasch_5;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;unveraendert_6;veraendert_6;panasch_6;D6;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D6_8;D6_9;D6_10;D6_11;unveraendert_7;veraendert_7;panasch_7;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D7_15;unveraendert_8;veraendert_8;panasch_8;D8;D8_1;D8_2;D8_3;D8_4;D8_5;D8_6;D8_7;D8_8;D8_9;D8_10;D8_11;D8_12;unveraendert_9;veraendert_9;panasch_9;D9;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D9_9;D9_10;D9_11;D9_12;unveraendert_10;veraendert_10;panasch_10;D10;D10_1;D10_2;D10_3;D10_4;D10_5;D10_6;D10_7;D10_8;D10_9;D10_10;D10_11;unveraendert_11;veraendert_11;panasch_11;D11;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D11_7;D11_8;D11_9;D11_10
14.03.2021;Ausländerbeiratswahl;06414000;8001;8001 Ausländerbeirat;1;1;8663;613;0;9276;367;1;58;8833;6;1;1;242;26;21;15;20;15;14;14;17;16;14;15;14;16;13;12;1;2;1;114;14;15;17;8;9;8;9;8;8;6;12;24;4;5;1188;135;110;119;123;104;107;108;116;122;70;74;12;3;2;561;43;43;40;39;40;41;34;40;30;33;29;31;31;21;15;15;16;20;2;1;0;105;9;12;9;12;12;12;9;9;9;6;6;9;9;3;718;77;86;88;68;62;56;61;76;60;42;42;13;4;0;521;50;34;41;35;34;35;32;32;30;31;34;37;33;34;29;107;28;4;4627;477;442;457;429;433;435;427;295;321;300;311;300;5;6;1;375;38;37;40;34;33;31;36;24;27;25;27;23;2;1;1;127;14;14;11;11;11;11;14;13;10;10;8;8;0;0;255;30;24;24;24;24;27;27;24;27;24
14.03.2021;Ausländerbeiratswahl;06414000;8002;8002 Ausländerbeirat;1;1;9771;901;0;10672;365;3;37;9368;3;4;1;307;29;23;30;19;25;20;17;17;19;20;20;17;20;13;18;2;15;6;558;63;62;57;51;57;57;48;48;47;36;32;15;11;1;928;103;90;91;86;81;90;83;83;104;60;57;19;15;1;1206;88;83;90;74;67;66;66;88;80;69;63;67;67;41;55;47;50;45;3;1;0;155;15;23;15;17;14;14;13;12;13;9;10;7;6;3;564;68;55;47;60;47;51;66;55;44;40;31;16;3;1;619;57;38;47;45;39;39;43;38;41;41;41;38;38;37;37;88;26;5;3886;393;382;381;356;383;355;364;243;278;248;253;250;14;8;2;753;73;75;72;72;75;70;66;52;48;49;48;53;4;2;0;179;20;17;17;17;17;17;18;18;16;11;11;2;0;2;213;31;27;21;25;27;24;15;13;15;15
14.03.2021;Ausländerbeiratswahl;06414000;8003;8003 Ausländerbeirat;1;1;11452;1087;0;12539;397;3;64;9225;9;6;0;502;54;38;38;34;33;32;30;31;31;30;30;30;29;28;34;2;3;2;226;29;28;26;24;24;20;20;14;18;10;13;27;22;2;1563;179;158;146;160;141;141;139;151;161;93;94;12;11;2;737;62;64;51;51;50;45;44;42;43;41;39;47;34;26;23;24;26;25;5;8;0;381;37;49;41;34;34;37;34;37;34;22;22;5;5;2;400;48;41;38;43;36;38;36;39;32;24;25;22;4;0;753;70;48;51;48;50;53;46;47;46;51;48;46;46;48;55;71;22;2;3135;324;308;315;285;294;295;276;190;221;204;212;211;12;14;4;883;85;85;86;81;84;76;78;60;55;62;61;70;5;2;0;237;27;28;22;21;22;21;21;22;25;14;14;7;5;1;408;42;43;46;42;47;37;41;35;40;35
14.03.2021;Ausländerbeiratswahl;06414000;8004;8004 Ausländerbeirat;1;1;10866;1052;0;11918;394;9;69;9138;5;10;2;434;41;30;36;33;30;24;26;32;29;28;25;25;23;26;26;3;13;1;494;71;48;51;44;44;49;43;29;39;29;47;21;6;5;1068;129;110;101;103;97;101;98;99;89;68;73;23;9;4;1062;76;78;73;66;66;71;66;72;67;67;61;73;57;36;32;32;32;37;2;6;1;162;15;19;15;11;16;17;20;19;13;10;7;8;4;0;422;47;41;39;49;35;38;41;47;34;27;24;14;4;0;634;63;40;43;42;43;41;42;46;37;39;42;40;40;36;40;69;23;11;3277;329;319;327;292;318;302;308;204;228;211;226;213;12;26;1;1143;116;109;107;117;103;106;103;71;69;76;94;72;5;1;2;225;24;23;24;22;22;20;20;19;20;17;14;3;2;1;217;21;21;23;19;22;21;23;20;25;22
14.03.2021;Ausländerbeiratswahl;06414000;8005;8005 Ausländerbeirat;1;1;9407;733;0;10140;403;2;76;9583;7;2;1;311;38;25;18;18;26;18;20;20;17;17;20;18;19;19;18;4;11;0;505;51;50;49;50;48;51;46;47;47;30;36;20;10;1;991;109;98;94;107;91;90;88;91;98;59;66;26;9;2;1192;89;90;83;78;77;77;76;72;76;74;72;72;64;39;37;39;38;39;0;0;1;29;3;0;6;1;0;3;3;9;2;1;1;7;1;0;375;47;39;36;40;31;27;40;43;28;22;22;18;4;0;769;76;50;59;48;45;50;50;47;47;48;58;48;48;49;46;91;20;16;4032;406;396;403;371;374;371;369;262;280;265;272;263;6;19;0;720;77;71;66;68;68;69;65;52;45;47;46;46;10;7;1;541;56;52;52;51;53;50;54;51;53;35;34;3;0;1;118;15;10;11;13;12;13;11;11;10;12
14.03.2021;Ausländerbeiratswahl;06414000;99801;B99801 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;435;435;29;11793;10;8;3;605;55;44;43;20;29;35;44;35;41;41;32;50;50;44;42;0;6;11;746;126;109;111;92;71;54;28;50;30;47;28;15;8;0;843;111;67;76;92;74;77;74;82;78;57;55;5;57;18;2502;229;262;190;211;277;213;147;122;100;96;93;97;84;85;86;72;72;66;2;0;0;68;6;9;9;6;6;6;6;6;6;4;4;7;2;0;392;44;35;42;48;32;32;38;51;30;22;18;9;12;33;1681;222;102;150;43;135;113;37;113;118;94;181;105;120;75;73;55;12;10;2416;247;219;243;225;231;236;219;146;167;156;168;159;1;24;0;778;73;72;60;76;75;65;66;50;62;65;59;55;16;14;2;802;75;87;75;72;72;75;74;74;73;72;53;15;6;15;960;129;135;116;116;80;122;99;53;57;53
14.03.2021;Ausländerbeiratswahl;06414000;99802;B99802 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;620;620;24;17354;4;12;10;535;40;30;33;14;51;32;39;21;35;45;54;46;35;30;30;0;27;58;2306;320;331;303;223;263;175;199;126;143;109;114;17;13;3;1067;123;106;101;110;107;98;93;99;99;65;66;13;107;15;4222;392;412;355;351;340;323;238;216;178;163;157;188;144;139;148;165;156;157;4;0;1;185;21;21;21;16;16;15;15;17;18;11;14;6;3;1;383;45;46;45;46;31;32;30;42;28;20;18;7;22;24;1696;204;111;114;40;133;121;33;121;130;106;160;123;126;88;86;71;12;1;2790;291;269;276;258;268;269;250;178;183;183;189;176;6;37;0;1382;135;128;114;127;131;119;131;94;109;103;87;104;14;3;0;513;47;50;47;46;46;53;47;51;47;42;37;30;14;24;2275;326;363;273;293;194;277;188;126;119;116
14.03.2021;Ausländerbeiratswahl;06414000;99803;B99803 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;748;748;52;20009;15;10;13;884;74;60;54;32;69;50;43;53;53;64;74;67;67;60;64;1;30;33;2305;359;355;332;227;265;148;180;126;122;98;93;12;15;4;857;119;86;80;87;82;72;75;78;78;50;50;7;59;9;2571;232;225;195;187;321;175;123;113;101;105;86;105;79;76;105;113;108;122;6;2;0;259;26;24;24;24;22;24;24;30;24;17;20;6;2;0;312;31;36;58;35;25;21;25;27;22;14;18;3;30;56;2632;302;76;117;66;260;245;37;190;190;181;232;211;210;156;159;60;9;7;2439;247;239;244;227;222;227;232;149;167;159;166;160;8;88;8;2972;313;307;169;283;260;245;263;244;228;237;199;224;19;18;5;878;92;83;76;78;76;74;78;73;93;97;58;69;13;40;3900;498;504;444;462;362;467;358;283;256;266
14.03.2021;Ausländerbeiratswahl;06414000;99804;B99804 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;734;734;44;20361;11;23;4;1115;96;88;84;46;65;75;76;68;80;74;62;82;79;69;71;4;36;67;2948;403;405;353;317;356;222;253;174;174;157;134;11;15;2;913;116;88;83;108;74;76;71;89;85;60;63;6;89;13;3648;317;372;285;279;490;288;192;188;160;149;126;130;115;107;113;117;105;115;3;1;0;160;16;16;16;14;14;16;17;16;15;9;11;3;0;0;151;17;12;18;15;15;15;11;15;15;8;10;3;49;81;4004;435;225;278;168;385;348;51;274;263;243;363;316;315;172;168;49;9;3;2211;216;204;221;198;210;213;208;143;153;146;156;143;5;62;2;2177;215;207;139;203;191;193;196;155;177;186;153;162;16;5;0;639;63;63;63;61;59;63;60;60;60;46;41;34;16;20;2395;367;362;290;310;170;294;189;123;142;148
14.03.2021;Ausländerbeiratswahl;06414000;99805;B99805 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;460;460;29;12566;6;4;3;334;26;16;20;15;18;17;18;14;18;17;30;32;32;31;30;2;23;17;1203;157;148;134;88;117;81;116;103;107;76;76;16;15;1;1073;129;107;99;106;100;98;97;103;105;66;63;14;23;5;1492;118;120;102;108;201;100;82;75;67;67;63;74;64;49;52;48;50;52;3;1;0;130;15;12;12;12;12;12;12;12;12;8;11;5;3;0;281;35;27;30;33;24;22;33;27;22;14;14;13;16;38;2087;227;111;142;85;194;177;41;133;117;115;201;169;178;100;97;63;10;3;2495;263;245;248;222;237;228;228;154;171;160;175;164;1;40;2;1316;144;132;112;126;115;106;109;131;88;94;77;82;33;5;10;1460;144;147;142;143;142;133;137;135;148;95;94;7;12;6;695;108;96;76;84;51;73;87;41;45;34
