datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;unveraendert_1;veraendert_1;panasch_1;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;unveraendert_2;veraendert_2;panasch_2;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;unveraendert_3;veraendert_3;panasch_3;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;unveraendert_4;veraendert_4;panasch_4;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D4_15;D4_16;D4_17;D4_18;D4_19;D4_20;D4_21;D4_22;D4_23;unveraendert_5;veraendert_5;panasch_5;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;unveraendert_6;veraendert_6;panasch_6;D6;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D6_8;D6_9;D6_10;D6_11;D6_12;D6_13;D6_14;D6_15;unveraendert_7;veraendert_7;panasch_7;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;unveraendert_8;veraendert_8;panasch_8;D8;D8_1;D8_2;D8_3;D8_4;D8_5;D8_6;D8_7;D8_8;D8_9;unveraendert_9;veraendert_9;panasch_9;D9;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D9_9;D9_10;D9_11;unveraendert_10;veraendert_10;panasch_10;D10;D10_1;D10_2;D10_3;D10_4;D10_5;D10_6;D10_7;D10_8;D10_9;D10_10;D10_11;unveraendert_11;veraendert_11;panasch_11;D11;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D11_7;D11_8;D11_9;D11_10;unveraendert_12;veraendert_12;panasch_12;D12;D12_1;D12_2;D12_3;D12_4;D12_5;D12_6;D12_7;D12_8;D12_9;D12_10;D12_11;unveraendert_13;veraendert_13;panasch_13;D13;D13_1;D13_2;D13_3;D13_4;D13_5;D13_6;D13_7;D13_8;D13_9;D13_10;D13_11;D13_12;D13_13;D13_14;unveraendert_14;veraendert_14;panasch_14;D14;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10;D14_11;unveraendert_15;veraendert_15;panasch_15;D15;D15_1;D15_2;D15_3;D15_4;D15_5;D15_6;D15_7;D15_8;D15_9;D15_10;D15_11;D15_12;D15_13;D15_14;D15_15
15.03.2026;Ausländerbeiratswahl;06414000;8001;8001 Ausländerbeirat;1;1;8284;425;0;8709;525;4;86;11850;24;8;1;977;69;65;63;64;59;74;70;63;64;61;61;56;59;56;61;32;12;6;2;487;68;59;51;57;48;52;57;48;47;58;13;9;2138;286;274;264;266;274;253;263;258;24;28;1;1555;117;112;98;116;96;83;95;87;50;59;45;59;66;55;45;51;47;46;46;46;46;44;46;25;12;2;1274;131;117;115;122;109;127;114;91;88;93;83;84;30;14;1;1404;130;99;95;95;92;104;87;89;96;85;86;83;90;88;85;13;5;0;581;58;57;60;56;54;55;55;55;55;40;36;5;1;1;233;29;21;21;25;33;31;23;31;19;12;5;2;710;80;66;77;72;70;60;72;63;60;44;46;3;0;0;117;19;10;12;9;12;12;11;9;9;6;8;4;0;0;146;17;13;12;13;21;14;12;17;12;15;15;6;1;830;86;88;84;90;81;79;71;73;72;56;50;1;3;1;198;23;20;16;13;16;15;13;13;14;13;11;10;13;8;20;5;0;785;75;80;75;78;77;74;75;72;74;51;54;8;5;2;415;44;35;25;28;26;26;27;27;25;25;27;24;24;24;28
15.03.2026;Ausländerbeiratswahl;06414000;8002;8002 Ausländerbeirat;1;1;9899;645;0;10544;521;12;64;12760;35;5;1;1456;113;113;100;94;92;103;89;96;96;92;84;84;86;84;84;46;21;2;0;726;98;80;75;80;81;82;88;71;71;40;8;17;1753;233;224;209;220;230;211;217;209;29;21;6;1860;150;137;136;147;98;117;120;97;70;57;49;57;49;55;69;53;68;48;53;55;60;53;62;29;2;0;1021;107;100;94;97;96;103;94;68;62;75;62;63;40;13;1;1675;156;110;108;105;104;113;105;105;115;102;113;105;110;112;112;13;4;2;581;58;56;60;59;56;57;54;53;53;41;34;7;6;0;435;48;47;39;39;68;57;53;43;41;7;7;2;691;77;71;78;76;64;60;57;55;55;49;49;4;6;0;288;27;27;27;27;28;28;30;27;27;22;18;6;1;0;217;23;22;21;21;23;23;21;21;21;21;11;2;0;516;69;56;58;48;51;44;43;48;42;30;27;2;6;2;278;25;24;22;24;19;20;18;18;21;16;20;15;18;18;10;11;1;674;72;71;76;72;64;58;55;56;59;45;46;9;7;1;589;58;42;44;38;43;38;36;36;37;37;36;35;35;33;41
15.03.2026;Ausländerbeiratswahl;06414000;8003;8003 Ausländerbeirat;1;1;11142;736;0;11878;542;5;80;12643;25;10;1;1129;85;84;74;71;69;88;71;70;73;71;72;70;68;66;63;34;12;8;2;633;80;72;69;72;72;66;71;64;67;47;8;23;2018;267;271;248;250;261;242;237;242;25;40;8;2133;152;163;123;151;111;126;110;100;82;82;61;71;88;62;76;85;79;64;71;69;69;69;69;21;1;1;835;89;88;81;75;74;78;86;56;51;58;50;49;31;23;1;1762;154;118;124;112;118;111;107;116;117;106;115;110;123;120;111;4;7;0;386;39;37;41;36;34;35;38;36;35;30;25;8;6;1;357;38;37;35;35;47;46;41;45;33;11;2;1;549;64;50;58;47;54;47;49;48;53;34;45;2;0;3;164;17;15;16;15;17;19;14;13;13;12;13;3;0;0;109;10;10;10;12;13;10;9;11;12;12;12;7;0;655;73;67;62;71;71;57;56;62;56;41;39;2;11;0;458;44;44;38;28;30;31;32;33;32;31;29;27;30;29;18;15;1;988;98;99;93;103;94;93;91;93;95;67;62;9;4;1;467;45;31;34;32;32;29;29;30;30;28;30;30;30;27;30
15.03.2026;Ausländerbeiratswahl;06414000;8004;8004 Ausländerbeirat;1;1;10129;563;0;10692;543;4;77;12628;20;13;3;1089;82;84;74;70;70;76;70;70;71;66;67;68;66;62;58;35;11;7;0;527;69;56;62;59;66;51;59;54;51;29;13;15;1488;194;190;187;190;191;177;179;180;22;16;4;1324;98;108;90;106;76;79;81;75;43;50;38;43;51;36;42;40;41;35;39;38;40;34;41;15;4;2;704;71;67;74;69;65;66;64;47;46;44;46;45;44;26;0;2156;198;148;145;149;138;150;132;135;136;131;140;131;139;135;149;10;1;1;432;45;43;39;47;42;37;43;36;37;28;35;8;8;0;356;48;32;32;35;48;41;49;37;34;6;2;1;366;41;34;39;39;33;33;35;30;30;24;28;7;3;1;324;37;33;30;31;30;30;29;29;31;21;23;3;3;0;162;20;16;15;16;18;15;15;15;15;17;11;10;2;703;75;65;66;72;65;66;67;63;65;53;46;5;15;0;704;72;65;58;46;45;45;45;45;47;45;48;46;48;49;37;27;1;1992;200;191;193;202;193;181;183;194;188;132;135;6;4;2;301;34;22;18;21;19;19;18;19;21;18;18;18;18;18;20
15.03.2026;Ausländerbeiratswahl;06414000;8005;8005 Ausländerbeirat;1;1;9985;660;0;10645;547;4;64;13179;28;11;0;1268;94;84;83;82;82;88;80;80;90;85;79;77;76;73;71;44;22;8;1;827;115;100;90;85;89;86;91;86;85;42;4;14;1542;201;196;190;205;194;185;186;185;18;19;2;1415;120;120;91;96;71;85;79;72;40;50;44;57;42;40;58;40;71;39;39;41;42;39;39;18;12;0;984;104;89;93;97;90;92;86;69;69;72;63;60;40;15;1;1748;167;123;114;119;115;120;110;112;116;107;106;101;120;107;111;7;12;0;491;47;46;49;51;49;44;46;46;48;34;31;14;5;1;612;72;67;62;62;65;69;80;68;67;15;10;1;846;93;76;79;82;90;82;81;74;78;53;58;10;3;2;490;58;48;51;45;49;46;44;40;40;31;38;2;3;0;205;22;22;21;22;26;17;18;23;17;17;10;1;3;479;62;48;47;42;53;40;40;45;40;32;30;6;3;0;289;30;31;22;16;21;18;16;26;18;16;15;15;27;18;27;18;3;1451;138;144;144;139;142;137;131;138;144;97;97;9;4;2;532;50;37;36;37;31;37;35;35;37;35;37;31;33;32;29
15.03.2026;Ausländerbeiratswahl;06414000;8006;8006 Ausländerbeirat;1;1;10911;468;0;11379;496;5;62;11397;26;8;2;1116;84;83;75;72;69;78;73;69;69;67;70;68;70;70;62;37;18;6;6;747;97;82;82;82;80;85;81;78;80;49;12;6;1780;228;221;224;222;225;217;226;217;16;11;1;804;61;62;50;59;45;51;49;44;26;24;24;35;23;26;26;23;26;24;25;26;25;23;27;12;10;0;701;66;70;69;72;66;68;63;43;46;46;44;48;37;16;0;1635;148;113;112;116;110;110;106;104;109;99;103;100;101;101;103;5;4;0;253;26;26;22;25;26;23;28;23;21;17;16;8;6;0;342;43;41;33;33;33;36;39;41;43;8;10;1;496;57;52;49;49;50;41;47;42;41;38;30;6;1;1;233;26;26;22;21;23;21;21;22;20;14;17;4;1;0;172;28;19;16;16;16;15;16;16;15;15;10;6;0;532;55;53;52;52;50;53;51;52;49;35;30;2;4;1;204;24;18;17;15;13;12;12;15;13;16;12;12;14;11;27;35;1;1764;182;174;176;169;174;164;162;165;164;117;117;13;5;2;618;68;49;42;43;40;43;39;38;38;38;36;36;35;37;36
15.03.2026;Ausländerbeiratswahl;06414000;99801;B99801 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;368;368;23;9554;14;41;1;1779;121;106;88;105;103;138;131;127;126;118;114;113;112;108;94;75;4;3;2;257;38;28;28;28;30;27;26;26;26;36;2;12;1327;172;179;172;166;164;157;159;158;14;19;6;986;69;58;53;68;46;46;53;45;65;31;33;35;41;28;40;36;32;28;38;30;30;41;40;22;12;3;1139;130;101;91;111;89;116;89;84;68;94;82;84;25;6;0;1002;94;71;72;66;66;64;59;63;65;62;66;64;65;61;64;3;1;0;135;15;12;16;13;13;12;12;13;12;8;9;5;10;0;448;55;54;49;48;48;48;50;50;46;3;7;3;418;52;35;42;34;41;41;42;33;36;31;31;5;8;0;726;97;96;57;70;87;58;87;55;52;33;34;1;0;4;290;52;48;46;20;14;26;22;33;24;5;5;6;0;413;51;46;45;43;41;37;33;35;31;27;24;1;0;0;58;11;10;4;3;3;3;3;3;3;3;3;3;3;3;13;1;0;464;46;46;43;43;46;42;43;42;50;33;30;3;0;0;112;11;7;7;6;6;7;7;10;7;7;7;7;7;8;8
15.03.2026;Ausländerbeiratswahl;06414000;99802;B99802 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;393;393;17;10517;9;32;1;1299;118;102;83;92;95;103;86;82;89;74;72;69;62;65;58;49;8;1;1;287;36;33;29;29;31;30;35;32;32;33;1;9;1178;156;147;144;147;145;144;144;151;18;17;6;1057;60;54;54;74;48;50;60;44;77;38;32;37;66;36;40;50;34;31;35;32;35;35;35;32;9;0;1333;150;132;118;132;122;127;119;89;80;89;82;93;10;4;0;471;53;40;27;33;27;36;28;27;34;30;27;24;30;27;28;2;4;0;192;20;18;18;18;21;18;18;18;18;16;9;13;40;0;1476;165;160;160;160;174;170;163;165;159;4;4;2;367;45;37;40;39;32;39;31;32;29;20;23;5;12;0;1075;138;134;74;104;114;82;127;94;85;58;65;2;0;2;409;93;86;66;35;9;11;52;34;15;8;6;2;0;273;31;25;30;29;26;21;21;30;28;17;15;0;0;0;13;2;4;0;1;0;2;0;1;0;1;0;1;0;1;13;4;0;586;55;59;58;56;55;50;50;56;54;44;49;11;4;0;501;46;32;32;32;32;32;32;32;32;33;35;32;33;33;33
15.03.2026;Ausländerbeiratswahl;06414000;99803;B99803 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;434;434;11;12234;19;64;0;2580;207;175;138;181;175;167;163;168;170;165;157;159;156;153;137;109;3;0;1;177;21;18;15;15;16;19;22;24;27;15;3;4;679;86;94;83;86;86;81;79;84;6;24;19;1328;93;76;70;65;50;58;55;38;90;48;55;45;70;40;62;59;58;43;51;43;48;52;59;24;17;4;1382;147;122;119;136;115;135;110;101;96;101;99;101;5;8;0;361;31;29;20;21;20;26;20;20;28;23;20;21;29;20;33;0;2;0;70;8;6;6;6;6;6;5;5;6;7;9;6;31;0;1011;111;111;111;111;114;114;114;114;111;2;11;4;541;55;51;53;52;52;58;49;48;48;38;37;2;10;1;1335;207;191;110;135;157;87;174;82;72;61;59;1;1;5;821;156;159;135;54;55;38;105;70;28;21;7;5;1;430;53;40;41;48;45;34;33;43;31;39;23;0;6;0;209;22;18;18;16;18;17;13;13;15;11;11;11;12;14;22;8;0;1063;104;108;95;101;95;91;94;95;109;84;87;5;3;0;247;24;12;12;12;19;12;12;18;12;13;16;18;16;25;26
15.03.2026;Ausländerbeiratswahl;06414000;99804;B99804 Briefwahlbezirk-Ausländerbeirat;1;1;0;0;0;0;386;386;19;10284;8;32;3;1387;122;100;87;82;93;112;91;90;98;87;82;81;77;70;67;48;6;0;1;199;27;23;22;23;20;20;23;20;21;20;0;5;731;106;102;94;91;87;88;83;80;8;16;3;756;53;45;41;49;34;37;58;29;47;24;20;30;38;22;41;35;23;20;20;20;30;20;20;25;11;2;1293;137;114;115;126;113;132;110;91;81;97;88;89;10;5;1;523;47;38;33;36;33;43;29;32;38;29;34;30;33;36;32;1;0;0;60;8;6;8;3;3;3;5;3;8;3;10;8;39;1;1306;149;146;143;141;145;148;149;144;141;4;3;4;362;42;31;37;33;34;38;31;32;31;27;26;0;11;0;877;152;146;111;120;76;53;70;46;43;28;32;1;0;22;721;125;114;105;89;77;74;66;34;21;16;16;8;1;657;65;71;64;75;76;54;54;62;53;46;37;2;2;0;177;17;17;12;10;16;20;11;11;10;13;10;10;10;10;27;6;0;1079;113;109;103;106;100;96;100;100;103;72;77;4;0;0;156;15;10;10;10;10;10;10;10;10;10;11;10;10;10;10
